CURSO,COD_RUCT,TITULACION,IND_TESIS_MATRIC,TASA_ABAN,IND_SATIS_PDI_GT_DOC,IND_SATIS_ALUM_GT_DOC,GRUPO_TITULACION
2023-24,5600045,PROGRAMA DE DOCTORADO EN INDUSTRIAS DE LA COMUNICACIÓN Y CULTURALES,126,9.38,7.86,8.02,Arte
2023-24,5600037,PROGRAMA DE DOCTORADO EN INFORMÁTICA,166,5.07,8.46,7.71,TIC
2023-24,5601191,PROGRAMA DE DOCTORADO EN INFRAESTRUCTURAS DE TRANSPORTE Y TERRITORIO,43,2.86,9.0,8.75,Ingeniería Civil
2023-24,5600052,PROGRAMA DE DOCTORADO EN INGENIERÍA DE LA CONSTRUCCIÓN,59,13.21,8.33,8.57,Ingeniería Civil
2023-24,5600137,PROGRAMA DE DOCTORADO EN INGENIERÍA DEL AGUA Y MEDIOAMBIENTAL,91,12.38,8.79,8.42,Ingeniería Civil
2023-24,5600041,PROGRAMA DE DOCTORADO EN INGENIERÍA ELECTRÓNICA,22,8.0,8.75,8.0,Ingeniería Industrial
2023-24,5601084,PROGRAMA DE DOCTORADO EN INGENIERÍA GEOMÁTICA,49,7.14,9.75,8.97,TIC
2023-24,5600048,PROGRAMA DE DOCTORADO EN INGENIERÍA TEXTIL,27,5.0,9.0,8.33,Ingeniería Industrial
2023-24,5600040,PROGRAMA DE DOCTORADO EN INGENIERÍA Y PRODUCCIÓN INDUSTRIAL,159,2.48,7.84,7.88,Ingeniería Industrial
2023-24,5600337,"PROGRAMA DE DOCTORADO EN LENGUAS, LITERATURAS Y CULTURAS, Y SUS APLICACIONES",67,3.45,8.33,8.7,Economía y Ciencias Sociales
2023-24,5600050,PROGRAMA DE DOCTORADO EN MATEMÁTICAS,53,0.0,8.28,9.44,Ciencias
2023-24,5600353,PROGRAMA DE DOCTORADO EN QUÍMICA,52,2.04,9.58,6.67,Ciencias
2023-24,5601090,PROGRAMA DE DOCTORADO EN QUÍMICA SOSTENIBLE,95,2.15,9.5,6.9,Ciencias
2023-24,5600042,PROGRAMA DE DOCTORADO EN RECURSOS Y TECNOLOGÍAS AGRÍCOLAS,59,4.88,8.57,8.91,Agroalimentación y Biotecnología
2023-24,5600035,PROGRAMA DE DOCTORADO EN SISTEMAS PROPULSIVOS EN MEDIOS DE TRANSPORTE,71,2.7,10.0,8.52,Ingeniería Industrial
2023-24,5600356,PROGRAMA DE DOCTORADO EN TÉCNICAS EXPERIMENTALES EN QUÍMICA,7,0.0,7.5,7.5,Ciencias
2023-24,5600596,PROGRAMA DE DOCTORADO EN TECNOLOGÍAS PARA LA SALUD Y EL BIENESTAR,142,6.84,8.8,7.84,TIC
2023-24,5600051,PROGRAMA DE DOCTORADO EN TELECOMUNICACIÓN,115,6.78,9.5,7.84,TIC
2021-22,5600043,PROGRAMA DE DOCTORADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,137,8.7,8.47,8.33,Economía y Ciencias Sociales
2021-22,5600038,"PROGRAMA DE DOCTORADO EN ARQUITECTURA, EDIFICACIÓN, URBANÍSTICA Y PAISAJE",180,7.38,7.65,6.48,Arquitectura
2021-22,5600428,PROGRAMA DE DOCTORADO EN ARTE: PRODUCCIÓN E INVESTIGACIÓN,312,12.63,8.29,7.42,Arte
2021-22,5600046,"PROGRAMA DE DOCTORADO EN AUTOMÁTICA, ROBÓTICA E INFORMÁTICA INDUSTRIAL",33,5.13,7.5,7.81,Ingeniería Industrial
2021-22,5600180,PROGRAMA DE DOCTORADO EN BIOTECNOLOGÍA,202,3.75,8.01,7.5,Agroalimentación y Biotecnología
2021-22,5600047,"PROGRAMA DE DOCTORADO EN CIENCIA, TECNOLOGÍA Y GESTIÓN ALIMENTARIA",82,5.06,8.82,8.67,Agroalimentación y Biotecnología
2021-22,5600036,PROGRAMA DE DOCTORADO EN CIENCIA Y TECNOLOGÍA DE LA PRODUCCIÓN ANIMAL,42,3.85,9.0,8.82,Agroalimentación y Biotecnología
2021-22,5600049,PROGRAMA DE DOCTORADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,44,10.26,9.58,7.71,Arte
2021-22,5600319,PROGRAMA DE DOCTORADO EN DESARROLLO LOCAL Y COOPERACIÓN INTERNACIONAL,46,2.5,10.0,7.14,Economía y Ciencias Sociales
2021-22,5600595,"PROGRAMA DE DOCTORADO EN DISEÑO, FABRICACIÓN Y GESTIÓN DE PROYECTOS INDUSTRIALES",147,8.66,8.65,7.72,Ingeniería Industrial
2021-22,5600039,PROGRAMA DE DOCTORADO EN ECONOMÍA AGROALIMENTARIA,48,4.55,8.96,8.18,Economía y Ciencias Sociales
2021-22,5600324,PROGRAMA DE DOCTORADO EN ESTADÍSTICA Y OPTIMIZACIÓN,24,0.0,7.81,7.86,Ciencias
2021-22,5600045,PROGRAMA DE DOCTORADO EN INDUSTRIAS DE LA COMUNICACIÓN Y CULTURALES,109,9.21,8.68,7.81,Arte
2021-22,5600037,PROGRAMA DE DOCTORADO EN INFORMÁTICA,151,7.87,7.96,7.73,TIC
2021-22,5601191,PROGRAMA DE DOCTORADO EN INFRAESTRUCTURAS DE TRANSPORTE Y TERRITORIO,32,0.0,7.5,6.76,Ingeniería Civil
2021-22,5600052,PROGRAMA DE DOCTORADO EN INGENIERÍA DE LA CONSTRUCCIÓN,53,11.76,7.08,8.03,Ingeniería Civil
2021-22,5600137,PROGRAMA DE DOCTORADO EN INGENIERÍA DEL AGUA Y MEDIOAMBIENTAL,89,5.94,8.61,7.82,Ingeniería Civil
2021-22,5600041,PROGRAMA DE DOCTORADO EN INGENIERÍA ELECTRÓNICA,24,4.35,8.75,7.5,Ingeniería Industrial
2021-22,5601084,PROGRAMA DE DOCTORADO EN INGENIERÍA GEOMÁTICA,43,13.51,9.03,8.28,TIC
2021-22,5600048,PROGRAMA DE DOCTORADO EN INGENIERÍA TEXTIL,23,0.0,9.55,7.22,Ingeniería Industrial
2021-22,5600040,PROGRAMA DE DOCTORADO EN INGENIERÍA Y PRODUCCIÓN INDUSTRIAL,163,6.71,8.41,7.7,Ingeniería Industrial
2021-22,5600337,"PROGRAMA DE DOCTORADO EN LENGUAS, LITERATURAS Y CULTURAS, Y SUS APLICACIONES",59,4.26,7.78,8.5,Economía y Ciencias Sociales
2021-22,5600050,PROGRAMA DE DOCTORADO EN MATEMÁTICAS,43,2.5,8.06,7.83,Ciencias
2021-22,5600353,PROGRAMA DE DOCTORADO EN QUÍMICA,48,0.0,8.85,7.5,Ciencias
2021-22,5601090,PROGRAMA DE DOCTORADO EN QUÍMICA SOSTENIBLE,88,2.35,8.75,7.4,Ciencias
2021-22,5600042,PROGRAMA DE DOCTORADO EN RECURSOS Y TECNOLOGÍAS AGRÍCOLAS,44,6.67,8.47,8.75,Agroalimentación y Biotecnología
2021-22,5600035,PROGRAMA DE DOCTORADO EN SISTEMAS PROPULSIVOS EN MEDIOS DE TRANSPORTE,77,1.67,9.93,8.43,Ingeniería Industrial
2021-22,5600356,PROGRAMA DE DOCTORADO EN TÉCNICAS EXPERIMENTALES EN QUÍMICA,8,0.0,9.38,7.0,Ciencias
2021-22,5600596,PROGRAMA DE DOCTORADO EN TECNOLOGÍAS PARA LA SALUD Y EL BIENESTAR,115,1.23,7.81,6.88,TIC
2021-22,5600051,PROGRAMA DE DOCTORADO EN TELECOMUNICACIÓN,114,4.03,8.79,7.31,TIC
